timestamp,device_id,data_type,register,value,function
2025-12-02T03:57:58.999726,esp-device-1,modbus,0,2455,READ_HOLDING_REGISTER
2025-12-02T03:58:58.999726,esp-device-1,modbus,0,2380,READ_HOLDING_REGISTER
2025-12-02T03:59:58.999726,esp-device-1,modbus,0,2394,READ_HOLDING_REGISTER
2025-12-02T04:00:58.999726,esp-device-1,modbus,0,2385,READ_HOLDING_REGISTER
2025-12-02T04:01:58.999726,esp-device-1,modbus,0,2423,READ_HOLDING_REGISTER
2025-12-02T04:02:58.999726,esp-device-1,modbus,0,4034,READ_HOLDING_REGISTER
2025-12-02T04:03:58.999726,esp-device-1,modbus,0,2414,READ_HOLDING_REGISTER
2025-12-02T04:04:58.999726,esp-device-1,modbus,0,2434,READ_HOLDING_REGISTER
2025-12-02T04:05:58.999726,esp-device-1,modbus,0,2406,READ_HOLDING_REGISTER
2025-12-02T04:06:58.999726,esp-device-1,modbus,0,2381,READ_HOLDING_REGISTER
2025-12-02T04:07:58.999726,esp-device-1,modbus,0,2467,READ_HOLDING_REGISTER
2025-12-02T04:08:58.999726,esp-device-1,modbus,0,2456,READ_HOLDING_REGISTER
2025-12-02T04:09:58.999726,esp-device-1,modbus,0,2412,READ_HOLDING_REGISTER
2025-12-02T04:10:58.999726,esp-device-1,modbus,0,2427,READ_HOLDING_REGISTER
2025-12-02T04:11:58.999726,esp-device-1,modbus,0,3737,READ_HOLDING_REGISTER
2025-12-02T04:12:58.999726,esp-device-1,modbus,0,2431,READ_HOLDING_REGISTER
2025-12-02T04:13:58.999726,esp-device-1,modbus,0,2422,READ_HOLDING_REGISTER
2025-12-02T04:14:58.999726,esp-device-1,modbus,0,2453,READ_HOLDING_REGISTER
2025-12-02T04:15:58.999726,esp-device-1,modbus,0,3795,READ_HOLDING_REGISTER
2025-12-02T04:16:58.999726,esp-device-1,modbus,0,2368,READ_HOLDING_REGISTER
2025-12-02T04:17:58.999726,esp-device-1,modbus,0,2436,READ_HOLDING_REGISTER
2025-12-02T04:18:58.999726,esp-device-1,modbus,0,2445,READ_HOLDING_REGISTER
2025-12-02T04:19:58.999726,esp-device-1,modbus,0,2443,READ_HOLDING_REGISTER
2025-12-02T04:20:58.999726,esp-device-1,modbus,0,2408,READ_HOLDING_REGISTER
2025-12-02T04:21:58.999726,esp-device-1,modbus,0,2403,READ_HOLDING_REGISTER
2025-12-02T04:22:58.999726,esp-device-1,modbus,0,2458,READ_HOLDING_REGISTER
2025-12-02T04:23:58.999726,esp-device-1,modbus,0,2442,READ_HOLDING_REGISTER
2025-12-02T04:24:58.999726,esp-device-1,modbus,0,2429,READ_HOLDING_REGISTER
2025-12-02T04:25:58.999726,esp-device-1,modbus,0,2389,READ_HOLDING_REGISTER
2025-12-02T04:26:58.999726,esp-device-1,modbus,0,2386,READ_HOLDING_REGISTER
2025-12-02T04:27:58.999726,esp-device-1,modbus,0,2439,READ_HOLDING_REGISTER
2025-12-02T04:28:58.999726,esp-device-1,modbus,0,2444,READ_HOLDING_REGISTER
2025-12-02T04:29:58.999726,esp-device-1,modbus,0,2432,READ_HOLDING_REGISTER
2025-12-02T04:30:58.999726,esp-device-1,modbus,0,2383,READ_HOLDING_REGISTER
2025-12-02T04:31:58.999726,esp-device-1,modbus,0,2407,READ_HOLDING_REGISTER
2025-12-02T04:32:58.999726,esp-device-1,modbus,0,2391,READ_HOLDING_REGISTER
2025-12-02T04:33:58.999726,esp-device-1,modbus,0,2394,READ_HOLDING_REGISTER
2025-12-02T04:34:58.999726,esp-device-1,modbus,0,2363,READ_HOLDING_REGISTER
2025-12-02T04:35:58.999726,esp-device-1,modbus,0,2418,READ_HOLDING_REGISTER
2025-12-02T04:36:58.999726,esp-device-1,modbus,0,2372,READ_HOLDING_REGISTER
2025-12-02T04:37:58.999726,esp-device-1,modbus,0,3740,READ_HOLDING_REGISTER
2025-12-02T04:38:58.999726,esp-device-1,modbus,0,3754,READ_HOLDING_REGISTER
2025-12-02T04:39:58.999726,esp-device-1,modbus,0,2393,READ_HOLDING_REGISTER
2025-12-02T04:40:58.999726,esp-device-1,modbus,0,2431,READ_HOLDING_REGISTER
2025-12-02T04:41:58.999726,esp-device-1,modbus,0,3761,READ_HOLDING_REGISTER
2025-12-02T04:42:58.999726,esp-device-1,modbus,0,2396,READ_HOLDING_REGISTER
2025-12-02T04:43:58.999726,esp-device-1,modbus,0,2332,READ_HOLDING_REGISTER
2025-12-02T04:44:58.999726,esp-device-1,modbus,0,2417,READ_HOLDING_REGISTER
2025-12-02T04:45:58.999726,esp-device-1,modbus,0,2371,READ_HOLDING_REGISTER
2025-12-02T04:46:58.999726,esp-device-1,modbus,0,2437,READ_HOLDING_REGISTER
2025-12-02T04:47:58.999726,esp-device-1,modbus,0,2391,READ_HOLDING_REGISTER
2025-12-02T04:48:58.999726,esp-device-1,modbus,0,2359,READ_HOLDING_REGISTER
2025-12-02T04:49:58.999726,esp-device-1,modbus,0,2421,READ_HOLDING_REGISTER
2025-12-02T04:50:58.999726,esp-device-1,modbus,0,2400,READ_HOLDING_REGISTER
2025-12-02T04:51:58.999726,esp-device-1,modbus,0,2388,READ_HOLDING_REGISTER
2025-12-02T04:52:58.999726,esp-device-1,modbus,0,2433,READ_HOLDING_REGISTER
2025-12-02T04:53:58.999726,esp-device-1,modbus,0,2429,READ_HOLDING_REGISTER
2025-12-02T04:54:58.999726,esp-device-1,modbus,0,2392,READ_HOLDING_REGISTER
2025-12-02T04:55:58.999726,esp-device-1,modbus,0,2451,READ_HOLDING_REGISTER
2025-12-02T04:56:58.999726,esp-device-1,modbus,0,2400,READ_HOLDING_REGISTER
2025-12-02T04:57:58.999726,esp-device-1,modbus,0,2397,READ_HOLDING_REGISTER
2025-12-02T04:58:58.999726,esp-device-1,modbus,0,4050,READ_HOLDING_REGISTER
2025-12-02T04:59:58.999726,esp-device-1,modbus,0,2415,READ_HOLDING_REGISTER
2025-12-02T05:00:58.999726,esp-device-1,modbus,0,2451,READ_HOLDING_REGISTER
2025-12-02T05:01:58.999726,esp-device-1,modbus,0,2435,READ_HOLDING_REGISTER
2025-12-02T05:02:58.999726,esp-device-1,modbus,0,3557,READ_HOLDING_REGISTER
2025-12-02T05:03:58.999726,esp-device-1,modbus,0,3879,READ_HOLDING_REGISTER
2025-12-02T05:04:58.999726,esp-device-1,modbus,0,2447,READ_HOLDING_REGISTER
2025-12-02T05:05:58.999726,esp-device-1,modbus,0,2382,READ_HOLDING_REGISTER
2025-12-02T05:06:58.999726,esp-device-1,modbus,0,2422,READ_HOLDING_REGISTER
2025-12-02T05:07:58.999726,esp-device-1,modbus,0,2408,READ_HOLDING_REGISTER
2025-12-02T05:08:58.999726,esp-device-1,modbus,0,2419,READ_HOLDING_REGISTER
2025-12-02T05:09:58.999726,esp-device-1,modbus,0,2419,READ_HOLDING_REGISTER
2025-12-02T05:10:58.999726,esp-device-1,modbus,0,3666,READ_HOLDING_REGISTER
2025-12-02T05:11:58.999726,esp-device-1,modbus,0,2462,READ_HOLDING_REGISTER
2025-12-02T05:12:58.999726,esp-device-1,modbus,0,2404,READ_HOLDING_REGISTER
2025-12-02T05:13:58.999726,esp-device-1,modbus,0,2418,READ_HOLDING_REGISTER
2025-12-02T05:14:58.999726,esp-device-1,modbus,0,2465,READ_HOLDING_REGISTER
2025-12-02T05:15:58.999726,esp-device-1,modbus,0,2411,READ_HOLDING_REGISTER
2025-12-02T05:16:58.999726,esp-device-1,modbus,0,2409,READ_HOLDING_REGISTER
2025-12-02T05:17:58.999726,esp-device-1,modbus,0,2451,READ_HOLDING_REGISTER
2025-12-02T05:18:58.999726,esp-device-1,modbus,0,2411,READ_HOLDING_REGISTER
2025-12-02T05:19:58.999726,esp-device-1,modbus,0,2418,READ_HOLDING_REGISTER
2025-12-02T05:20:58.999726,esp-device-1,modbus,0,2402,READ_HOLDING_REGISTER
